campaign_id,date,channel,cost,impressions,clicks,conversions,conversion_value,target_audience
C001,2023-01-05,Social Media,1500.25,45000,1250,75,6000.50,Young Adults
C002,2023-01-12,Search Engine,2200.75,30000,2100,95,9500.25,Professionals
C003,2023-01-19,Email,800.50,20000,900,65,5200.00,Existing Customers
C004,2023-01-26,Display Ads,1800.00,50000,1100,55,4400.75,General
C005,2023-02-02,Social Media,1600.25,47500,1350,82,6560.50,Young Adults
C006,2023-02-09,Search Engine,2300.75,32000,2250,103,10300.25,Professionals
C007,2023-02-16,Email,850.50,22000,980,72,5760.00,Existing Customers
C008,2023-02-23,Display Ads,1850.00,52500,1180,61,4880.75,General
C009,2023-03-02,Social Media,1700.25,50000,1450,89,7120.50,Young Adults
C010,2023-03-09,Search Engine,2400.75,34000,2400,110,11000.25,Professionals
C011,2023-03-16,Email,900.50,24000,1060,78,6240.00,Existing Customers
C012,2023-03-23,Display Ads,1900.00,55000,1260,67,5360.75,General
C013,2023-03-30,Social Media,1800.25,52500,1550,96,7680.50,Young Adults
C014,2023-04-06,Search Engine,2500.75,36000,2550,118,11800.25,Professionals
C015,2023-04-13,Email,950.50,26000,1140,84,6720.00,Existing Customers
C016,2023-04-20,Display Ads,1950.00,57500,1340,73,5840.75,General
C017,2023-04-27,Social Media,1900.25,55000,1650,103,8240.50,Young Adults
C018,2023-05-04,Search Engine,2600.75,38000,2700,125,12500.25,Professionals
C019,2023-05-11,Email,1000.50,28000,1220,91,7280.00,Existing Customers
C020,2023-05-18,Display Ads,2000.00,60000,1420,79,6320.75,General
C021,2023-05-25,Social Media,2000.25,57500,1750,110,8800.50,Young Adults
C022,2023-06-01,Search Engine,2700.75,40000,2850,132,13200.25,Professionals
C023,2023-06-08,Email,1050.50,30000,1300,97,7760.00,Existing Customers
C024,2023-06-15,Display Ads,2050.00,62500,1500,85,6800.75,General
C025,2023-06-22,Social Media,2100.25,60000,1850,117,9360.50,Young Adults
C026,2023-06-29,Search Engine,2800.75,42000,3000,140,14000.25,Professionals
C027,2023-07-06,Email,1100.50,32000,1380,104,8320.00,Existing Customers
C028,2023-07-13,Display Ads,2100.00,65000,1580,91,7280.75,General
C029,2023-07-20,Social Media,2200.25,62500,1950,124,9920.50,Young Adults
C030,2023-07-27,Search Engine,2900.75,44000,3150,147,14700.25,Professionals
