survey_id,date,customer_id,age_group,gender,purchase_frequency,product_quality_rating,customer_service_rating,price_satisfaction,recommendation_likelihood,overall_satisfaction,feedback_text
S001,2023-01-10,C1001,25-34,Female,Monthly,4,5,3,8,4,"Great products, but prices are a bit high."
S002,2023-01-11,C1002,45-54,Male,Weekly,5,4,4,9,5,"Very satisfied with everything!"
S003,2023-01-12,C1003,18-24,Female,Monthly,3,2,5,4,3,"Customer service needs improvement, but good prices."
S004,2023-01-13,C1004,35-44,Male,Quarterly,4,4,3,7,4,"Consistent quality, but could be more affordable."
S005,2023-01-14,C1005,55-64,Female,Monthly,2,5,4,6,3,"Great service, but product quality is inconsistent."
S006,2023-01-15,C1006,25-34,Male,Weekly,5,5,2,8,4,"Love the products and service, but too expensive."
S007,2023-01-16,C1007,65+,Female,Quarterly,4,3,5,7,4,"Good value for money, service could be better."
S008,2023-01-17,C1008,18-24,Male,Monthly,5,5,5,10,5,"Absolutely perfect experience!"
S009,2023-01-18,C1009,35-44,Female,Weekly,3,4,4,6,4,"Generally satisfied but product quality varies."
S010,2023-01-19,C1010,45-54,Male,Monthly,4,2,3,5,3,"Disappointed with customer service response times."
S011,2023-01-20,C1011,55-64,Female,Quarterly,5,5,3,9,4,"Excellent quality and service, a bit pricey though."
S012,2023-01-21,C1012,25-34,Male,Monthly,3,3,4,6,3,"Average experience overall, nothing special."
S013,2023-01-22,C1013,35-44,Female,Weekly,4,5,4,8,4,"Very good experience, especially customer service."
S014,2023-01-23,C1014,65+,Male,Quarterly,2,3,5,4,3,"Prices are good but quality could be better."
S015,2023-01-24,C1015,18-24,Female,Monthly,5,4,2,7,4,"High quality products but expensive for my budget."
S016,2023-01-25,C1016,45-54,Male,Weekly,4,2,3,5,3,"Service response times need serious improvement."
S017,2023-01-26,C1017,25-34,Female,Monthly,5,5,4,9,5,"One of the best companies I've dealt with!"
S018,2023-01-27,C1018,35-44,Male,Quarterly,3,4,5,7,4,"Good value, but product quality is inconsistent."
S019,2023-01-28,C1019,55-64,Female,Monthly,4,3,3,6,3,"Just OK, nothing to rave about."
S020,2023-01-29,C1020,18-24,Male,Weekly,5,5,4,10,5,"Amazing all around, definitely recommend!"
S021,2023-01-30,C1021,35-44,Female,Monthly,2,2,3,3,2,"Disappointed with both quality and service."
S022,2023-01-31,C1022,45-54,Male,Quarterly,4,5,5,9,5,"Great value and excellent customer support!"
S023,2023-02-01,C1023,65+,Female,Monthly,3,4,4,7,4,"Decent experience, service is better than product."
S024,2023-02-02,C1024,25-34,Male,Weekly,5,3,2,6,3,"Quality is excellent but too expensive and service is average."
S025,2023-02-03,C1025,35-44,Female,Monthly,4,5,4,8,4,"Very good overall experience, would recommend."
S026,2023-02-04,C1026,18-24,Male,Quarterly,3,3,5,7,4,"Good price point, other aspects are average."
S027,2023-02-05,C1027,55-64,Female,Weekly,5,4,3,8,4,"High quality products, good service, a bit expensive."
S028,2023-02-06,C1028,25-34,Male,Monthly,2,2,2,3,2,"Disappointed across the board, will not return."
S029,2023-02-07,C1029,35-44,Female,Quarterly,4,5,3,8,4,"Excellent customer service made up for the higher prices."
S030,2023-02-08,C1030,45-54,Male,Monthly,5,4,4,9,5,"Very happy with everything, will continue shopping here!"
S031,2023-02-09,C1031,18-24,Female,Weekly,3,3,5,6,4,"Good value but average quality and service."
S032,2023-02-10,C1032,65+,Male,Monthly,4,2,3,5,3,"Service needs improvement, otherwise okay."
S033,2023-02-11,C1033,25-34,Female,Quarterly,5,5,4,10,5,"Perfect experience, couldn't ask for more!"
S034,2023-02-12,C1034,35-44,Male,Monthly,3,4,2,5,3,"Quality and service are good, but prices are too high."
S035,2023-02-13,C1035,55-64,Female,Weekly,4,5,5,9,5,"Excellent value and incredible customer service!"
S036,2023-02-14,C1036,18-24,Male,Monthly,5,3,3,7,4,"High quality products but service and price are just okay."
S037,2023-02-15,C1037,45-54,Female,Quarterly,2,4,4,5,3,"Service is good but quality is disappointing."
S038,2023-02-16,C1038,25-34,Male,Monthly,4,5,3,8,4,"Great experience overall, especially with customer service."
S039,2023-02-17,C1039,35-44,Female,Weekly,5,5,5,10,5,"Perfect in every way, highly recommend!"
S040,2023-02-18,C1040,65+,Male,Monthly,3,2,4,4,3,"Prices are reasonable but service needs work."
S041,2023-02-19,C1041,18-24,Female,Quarterly,4,4,3,7,4,"Good experience overall, just wish it was more affordable."
S042,2023-02-20,C1042,55-64,Male,Monthly,5,3,2,6,3,"Great quality products but expensive and service is average."
S043,2023-02-21,C1043,25-34,Female,Weekly,3,5,4,7,4,"Excellent customer service compensates for average products."
S044,2023-02-22,C1044,35-44,Male,Monthly,4,4,5,9,5,"Great value and consistently good quality and service."
S045,2023-02-23,C1045,45-54,Female,Quarterly,2,3,3,4,3,"Below average experience, needs improvement in multiple areas."
S046,2023-02-24,C1046,18-24,Male,Monthly,5,5,2,7,4,"Outstanding quality and service, but prices are high."
S047,2023-02-25,C1047,65+,Female,Weekly,4,2,4,5,3,"Good quality and price, but customer service is lacking."
S048,2023-02-26,C1048,25-34,Male,Monthly,3,4,5,7,4,"Great value for money, other aspects are good too."
S049,2023-02-27,C1049,35-44,Female,Quarterly,5,5,3,9,4,"Excellent quality and service, slightly pricey."
S050,2023-02-28,C1050,55-64,Male,Monthly,4,3,4,7,4,"Good overall experience, nothing outstanding."
